,STATE,total_miles_state
0,01,333950610965.0
1,02,40476673965.0
2,04,439635242250.0
3,05,207086839792.5
4,06,2228803629719.0
5,08,409475108725.5
6,09,209700319058.5
7,10,59825032521.5
8,11,32597535572.0
9,12,1161558137545.5
10,13,734097281136.0
11,15,53692871864.0
12,16,116204830484.0
13,17,868340212068.0
14,18,464494343428.5
15,19,248015800560.5
16,20,218872691989.0
17,21,334965909057.5
18,22,341481656564.0
19,23,94464599543.0
20,24,378078510369.0
21,25,436340838255.0
22,26,667570628416.0
23,27,426463007225.5
24,28,213936754221.0
25,29,439399318211.5
26,30,74878947544.5
27,31,138149050002.5
28,32,167046255477.0
29,33,100283157410.0
30,34,540623651032.5
31,35,176982057785.0
32,36,1202213749007.0
33,37,724079247045.5
34,38,61304029803.0
35,39,731375873196.0
36,40,267422063700.0
37,41,255099558071.0
38,42,786230053687.0
39,44,57321624438.0
40,45,339327902670.5
41,46,73405802790.0
42,47,479577955627.0
43,48,1857165699090.5
44,49,235654927660.5
45,50,44417853204.0
46,51,562684516292.5
47,53,443074676254.5
48,54,123717732607.0
49,55,442189177817.5
50,56,54314306026.0
